id,title,category,price,rating,brand,reviews_count
83,Blue & Black Check Shirt,mens-shirts,29.99,3.64,Fashion Trends,3
84,Gigabyte Aorus Men Tshirt,mens-shirts,24.99,3.18,Gigabyte,3
85,Man Plaid Shirt,mens-shirts,34.99,3.46,Classic Wear,3
86,Man Short Sleeve Shirt,mens-shirts,19.99,2.9,Casual Comfort,3
87,Men Check Shirt,mens-shirts,27.99,2.72,Urban Chic,3
88,Nike Air Jordan 1 Red And Black,mens-shoes,149.99,4.77,Nike,3
89,Nike Baseball Cleats,mens-shoes,79.99,3.88,Nike,3
90,Puma Future Rider Trainers,mens-shoes,89.99,4.9,Puma,3
91,Sports Sneakers Off White & Red,mens-shoes,119.99,4.77,Off White,3
92,Sports Sneakers Off White Red,mens-shoes,109.99,4.69,Off White,3
177,Black Women's Gown,womens-dresses,129.99,3.64,,3
178,Corset Leather With Skirt,womens-dresses,89.99,3.05,,3
179,Corset With Black Skirt,womens-dresses,79.99,4.52,,3
180,Dress Pea,womens-dresses,49.99,4.88,,3
181,Marni Red & Black Suit,womens-dresses,179.99,4.48,,3
185,Black & Brown Slipper,womens-shoes,19.99,2.53,Comfort Trends,3
186,Calvin Klein Heel Shoes,womens-shoes,79.99,4.92,Calvin Klein,3
187,Golden Shoes Woman,womens-shoes,49.99,3.26,Fashion Diva,3
188,Pampi Shoes,womens-shoes,29.99,3.05,Pampi,3
189,Red Shoes,womens-shoes,34.99,3.25,Fashion Express,3
154,Black Sun Glasses,sunglasses,29.99,4.41,Fashion Shades,3
155,Classic Sun Glasses,sunglasses,24.99,3.86,Fashion Shades,3
156,Green and Black Glasses,sunglasses,34.99,4.55,Fashion Shades,3
157,Party Glasses,sunglasses,19.99,2.79,Fashion Fun,3
158,Sunglasses,sunglasses,22.99,3.02,Fashion Shades,3
172,Blue Women's Handbag,womens-bags,49.99,2.92,Fashionista,3
173,Heshe Women's Leather Bag,womens-bags,129.99,4.92,Heshe,3
174,Prada Women Bag,womens-bags,599.99,2.71,Prada,3
175,White Faux Leather Backpack,womens-bags,39.99,3.36,Urban Chic,3
176,Women Handbag Black,womens-bags,59.99,2.89,Elegance Collection,3
93,Brown Leather Belt Watch,mens-watches,89.99,4.19,Fashion Timepieces,3
94,Longines Master Collection,mens-watches,1499.99,3.87,Longines,3
95,Rolex Cellini Date Black Dial,mens-watches,8999.99,4.97,Rolex,3
96,Rolex Cellini Moonphase,mens-watches,12999.99,2.58,Rolex,3
97,Rolex Datejust,mens-watches,10999.99,3.66,Rolex,3
98,Rolex Submariner Watch,mens-watches,13999.99,2.69,Rolex,3
190,IWC Ingenieur Automatic Steel,womens-watches,4999.99,2.93,IWC,3
191,Rolex Cellini Moonphase,womens-watches,15999.99,3.83,Rolex,3
192,Rolex Datejust Women,womens-watches,10999.99,2.86,Rolex,3
193,Watch Gold for Women,womens-watches,799.99,4.24,Fashion Gold,3
194,Women's Wrist Watch,womens-watches,129.99,3.52,Fashion Co.,3
